Collector,Count,CollectorShort
"Wilson, E. H.",165,Wilson
"Del Tredici, P.",83,Del Tredici
"Spongberg, S.A.; Weaver, R.E.",78,Spongberg et al.
"Sargent, C. S.",74,Sargent
"Li, Minghe",66,Li
NACPEC '97,50,NACPEC '97
"Jack, J. G.",50,Jack
1980 S.A.B.E.,32,1980 S.A.B.E.
"Nicholson, R.",30,Nicholson
"Dawson, J. T.",30,Dawson
"Purdom, W.",30,Purdom
"Wilson, E.H.",28,Wilson
"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",26,Alexander et al.
"Del Tredici, P. and Li, J.",25,Del Tredici et al.
"Harbison, T. G.",24,Harbison
"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",24,Lewandowski et al.
"Aiello, A. S., Dosmann, M., Wang, K.",24,Aiello et al.
"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",23,Bachtell et al.
"Palmer, E. J.",21,Palmer
Expedition to Hokkaido 1997,20,Expedition to Hokkaido 1997
